Name	Type	Code	Price	Location
Apricot, Ceylon OP	BF 12	B20	$13.50	nis
Assam House Blend, TGFOP	BU 4	B75	$16.00	
Assam, Bukhial Est.,TGFOP	BE 	B01	$13.25	L1
Assam, Dejoo Est.	BE 1	B51	$14.75	L1
Assam, Lukwah Est., 	BE	B69	$18.00	L1
Black Currant OP	BF 12	B04 	$13.50	L2
Canadian Breakfast	BU 6	B18	$13.25	nis
Caramel Cream Black Tea               	BF 12	B49 	$13.50	L4
Christmas Cookie, Black Tea  (seasonal)	BF 17	B35	$14.00	C2
Cochin Masala Chai				
Cranberry, Black OP	BU 13	B10	$13.50	
Darjeeling Org., Ambootia Est., FTGFOP 1	ORBE 5	B52	$16.50	C1
Darjeeling, Margaret's Hope Est., 2nd Flush	BE	B05	$18.00	L1
Earl Grey Classic	BF 11	B06c	$13.50	L2
Earl Grey Cream	BF 11	B07	$13.50	L2
English Breakfast	BU 7	B39	$13.25	L2
Ginger, Ceylon OP	BF 13	B21	$13.50	NIS
Gingerbread	BF 17	B62	$14.00	L3
Hazelnut, Ceylon OP	BF 13	B22	$13.50	L3
Irish Breakfast	BU 7	B08	$13.25	L2
King of Pu Erh, Organic	OAB	B48	$22.75	C1?
Lady Grey (Earl Grey Lavender)	BF 11	B23	$13.50	L2
Lapsang Souchong (from Formosa)	BF 6	B09	$13.50	L2
Mango OP                                	BF 14	B11	$13.50	L3
Maple Tea OP	BF 14	B17	$13.50	L3?
Masala Chai	BF 18	B12	$14.00	L3
Monk's Blend 	BF	B13	$13.75	L3
Nilgiris,Thiashola Estate, FOP	BE 6	B16	$12.75	L1
Organic Earl Grey	ORB 11	B26	$14.75	nis
Organic TurmericChai		B61	$20.00	C2
Pu Erh (Cleansing/Detox) aged black tea	AB 9	B14	$13.50	L4
Rum Marzipan Ceylon O.P.	BF 15	B55	$13.50	nis
Strawberry-Chocolate O.P.	FB 15	B50 	$13.50	L3
Vanilla Cream, OP	BF 16	B27	$13.50	nis
Gen Mai Cha, Japan	GU 20	G02	$14.75	C4 &C5
Green Earl Grey Cream	GF22	G15	$12.75	C5 
Green Organic, China	GU 20	G01	$13.50	C1
Jasmine Dragon Phoenix, China	GU 21	G13	$25.00/50g	C5
Jasmine, China	GF 21	G03	$12.75	C5
Moroccan Mint	GF 21	G04	$12.75	C5
Pomegranate Hibiscus	GF	G08	$12.50	L5 & C5
Shanghai Lichi Jasmine	GF	G07	$12.75	C5
Sencha Caribbean Dreams	SF 23	S01	$13.25	L5
Sencha Chai Green	SF22	S07	$13.50	L5
Sencha Flowers of Paradise	SF 23	S02	$13.25	L5
Sencha Grapefruit	 SF-24	S08	$13.25	C5
Sencha Mango	SF 24	S05	$13.25	L5
Sencha Winter Dream	SF 25	S04	$13.25	L5
Tian Shan Yin Hao (unscented), China	UW 27	W01	$15.00/50g	C1
White Ginger-Peach, China	FW 27	W03	$18.00/50g	C1
Green Rooibos Lemon Cream	CF 35	R07	$14.00	R1
Green Rooibos Sweet Peach	CF 35	R12	$14.00	R1
Green Rooibos Turmeric Lime	R 35	R17	$14.50	C1
Honeybush Natural CF 	CF 36	R05	$13.50	R1
Natural Rooibos	CF 30	R09	$12.75	R1
Organic Rooibos CF	ORR 30	R08	$13.75	R1
Rooibos Chai CF	RF 31	R02	$14.00	R1
Rooibos Choc. Mint CF	CF 31	R03	$13.50	R1
Rooibos Christmas	CF 31	R11	$13.50	R1
Rooibos Provence	CF	R04	$14.00	R1
Rooibos Tiramisu	R24	R18	$12.75	C1
Rooibos Vanilla Cream	CF 34	R10	$13.50	R1
Iron Goddess of Mercy	OU	O-01	$12.50	L4
Milk Oolong	OF 8	O-04	$16.50/50g	L4
Oolong, Se Chung	OU 8	O-03	$12.75	
Apple-Cinnamon CF	CF 40	T12	$12.75	
Ayurvedic Blend	CF	T44	$13.50	C3
Black Currant CF	CF 40	T01	$12.75	R4
Blueberry CF	CF 40	T02	$12.75	R3
Chai Masala Mixture  (Chai Spice)	CF 19	T38	$14.50	R4
Cinnabeet Almond Delight (Go Go Nuts)	CF 41	T39	$12.00	R3
Cranberry Cream CF	CF 40	T03	$12.75	R2
Dandelion, Herb & Root	CF44	T27	$7.00/50g	R4
Ginger-Lime, CF	CF 40	T33	$12.75	R2
Good Night CF	CF 42	T04	$13.25	R4
Hibiscus Flowers	CF 45	T34	$10.75	R2
Lapacho Lemon Cream	CF 37	T43		nis
Lavender flowers (French)	CF 45	T32	$9.00/50g	R3
Lemongrass	CF 45	T24	$5.50/50g	R5
Licorice Root	CFH-45	T16	$12.75	
Madagascar Almond Spice	CF	T22	$12.50	R2
Maritime Breeze	CF 42	T05	$13.25	R3
Mulling Spice	CF 19	T19	$13.25	R2
Orange Blossom (flowers)	CFH 45	T20	$21/50g	R2
Organic Turmeric Ginger	CF	T40	$20.00	C2
Pear Cream CF	CF 40	T06	$12.75	
Peppermint (pure)	CF	T07	$9.00/50g	R4
Pina Colada	CF 40	T36	$12.75	R3
Raspberry Leaves	CF 45 	T17	$6.00/50g	C3
Romantic Spirit CF	CF 41	T08	$12.75	R3
Spearmint CF	CF 46	T10	$7.00/50g	R4
Turkish Apple	CF 41	T35	$11.75	R2
Vitali-T 	CF 43	T45	$13.50	nis
Xmas Special Spiced Fruit Blend	CF 41	T37	$12.75	C2
Yoga CF	CF 18	T09	$14.00	R3
Yerba Mate Spicy  Orange	YMF 38	Y02	$12.25	R5
Yerba Mate, roasted	YMU 39	Y03	$11.75	R5
